"","logFC","se","df","t","pval","adjPval"
"O00232",0.735009462423588,0.494356583677456,12.0708149714058,1.48680018976575,0.162715301419181,0.27131446538779
"O00233",-0.0358736038689739,0.229663282122946,19.1613957410011,-0.156200867362723,0.877508634211744,0.924384095441004
"O00244",0.849561117770469,0.390549715446541,17.173668215422,2.17529570287642,0.0438571362300874,0.098503727386939
"O00264",0.606971825567409,0.271168900132081,17.724755477311,2.23835338518453,0.0382841781003262,0.0878546150665359
"O00267",-0.886636228744182,0.532175910158177,11.1551650301434,-1.66605855661646,0.12350476103915,0.221142302151215
"O00273",0.671038958067853,0.262057448745627,17.5609283520031,2.5606559221265,0.0199125393725405,0.0538614900571841
"O00291",-0.249215008921681,0.367918533048066,17.68437316579,-0.677364651508661,0.506940115932268,0.627680562129615
"O00299",1.04168665347869,0.259726718964895,19.3140960758667,4.01070270178665,0.000727299757040737,0.00499688664540983
"O00303",1.25245042780438,0.293247852226163,18.227301745981,4.27096198078356,0.000448342887407983,0.00360379962215438
"O00330",1.05043733488185,0.319392300022699,16.9009820584815,3.28886242657447,0.00436011917635722,0.0181094100633512
"O00391",0.0182486484690525,0.300894285957474,15.8905031963628,0.0606480392639679,0.95239574121413,0.970440716176603
"O00410",1.16826000189579,0.296611375464967,18.6690572430972,3.93868913511639,0.000906852489888893,0.00586973668510142
"O00425",3.08673045560675,0.616086144237397,9.25002970631451,5.01022541162253,0.000670672050608713,0.00475820268211938
"O00429",0.105325159124381,0.26011008695172,16.7189011507289,0.404925315887235,0.690666249554721,0.783055103941305
"O00442",NA,NA,NA,NA,NA,NA
"O00461",0.421173797501709,0.699596817766212,9.50013603990394,0.602023603890169,0.5612501745292,0.675693128309879
"O00468",-1.18590103032472,0.394237567232871,17.0368628562957,-3.00808732827894,0.00790259064766381,0.0271496668243781
"O00469",-0.276669829854499,0.435761669470218,19.1338274668464,-0.634910891063142,0.533006018956434,0.651231641500674
"O00471",-0.204977022814564,0.432762558821282,16.724755477311,-0.473647774365836,0.64187493165277,0.74486702543307
"O00479",0.912469578298869,0.681629865498447,17.724755477311,1.33865844864591,0.19760011156948,0.312902103866446
