,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
56,ACSA_MOUSE,LT-Ctrl,0.221475602477859,0.789459120073548,0.28054093853172,3.0,0.797296643424704,1.0,,0.6,0.155555555555556
57,ACSL3_MOUSE,LT-Ctrl,0.05474950695487,0.14292280166754,0.383070485017679,1.0,0.76710709287322,1.0,,0.648148148148148,0.0925925925925926
58,ACSL5_MOUSE,LT-Ctrl,-0.704009482971244,0.514262448275453,-1.36896925943572,3.0,0.264499885234759,0.8011102026292547,,0.611111111111111,0.166666666666667
59,ACSL6_MOUSE,LT-Ctrl,-0.923000756286052,0.449150792991054,-2.05499081976337,3.0,0.132129343620882,0.6244403540427783,,0.474747474747475,0.252525252525253
60,ACTBL_MOUSE,LT-Ctrl,0.476222642741055,0.167174023338783,2.84866412394692,4.0,0.0464585122487917,0.39870830804705026,,0.505050505050505,0.282828282828283
61,ACTH_MOUSE,LT-Ctrl,,,,,,1.0,,,
62,ACTH_MOUSE;ACTS_MOUSE,LT-Ctrl,1.23735217808135,0.602128323193097,2.05496425001177,4.0,0.109073912012967,0.5861835152081074,,0.625730994152047,0.403508771929825
63,ACTN1_MOUSE,LT-Ctrl,0.21484305888033,0.250794613421105,0.856649415031856,2.0,0.481897219590277,1.0,,0.677777777777778,0.233333333333333
64,ACTN2_MOUSE,LT-Ctrl,1.91783747663044,0.708336353558627,2.70752371665716,4.0,0.0536746047799141,0.4248512349675119,,0.537037037037037,0.314814814814815
65,ACTN2_MOUSE;ACTN3_MOUSE,LT-Ctrl,1.80478329351635,0.984021736056828,1.83408884924481,2.0,0.208080993082114,0.734561673757129,,0.577777777777778,0.0222222222222222
66,ACTN3_MOUSE,LT-Ctrl,1.13895334315967,0.847026995856506,1.34464822104988,1.0,0.407086370129367,0.9795880072653849,,0.638888888888889,0.194444444444444
67,ACTN4_MOUSE,LT-Ctrl,-0.114255381132879,0.27505935448136,-0.415384458922744,3.0,0.705782250016261,1.0,,0.422222222222222,0.0888888888888889
68,ACTS_MOUSE,LT-Ctrl,0.823205212690854,0.437895812044926,1.87991113421838,4.0,0.133294906723639,0.6276868448972857,,0.530864197530864,0.308641975308642
69,ACTY_MOUSE;ACTZ_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.488888888888889,0.0444444444444444
70,ACY1_MOUSE,LT-Ctrl,1.04483512862515,0.190734510776736,5.47795532318835,3.0,0.0119624799702627,0.25394040636153703,,0.259259259259259,0.148148148148148
71,ADA_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
72,ADA10_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.537037037037037,0.0925925925925926
73,ADA17_MOUSE,LT-Ctrl,0.279305206630439,0.62113246546721,0.449670919101528,2.0,0.696983669386147,1.0,,0.592592592592593,0.259259259259259
74,ADAS_MOUSE,LT-Ctrl,-1.07346784224226,0.382851217600856,-2.80387731027517,6.0,0.0310051601182659,0.34426050663037344,,0.481481481481482,0.37037037037037
75,ADDG_MOUSE,LT-Ctrl,-0.758369136486325,0.320081031493536,-2.3693035883685,3.0,0.0985660575663179,0.5601404299520051,,0.677777777777778,0.233333333333333
76,ADH1_MOUSE,LT-Ctrl,0.512465379998856,0.837372997369367,0.611991766642562,1.0,0.650374565924232,1.0,,0.703703703703704,0.037037037037037
77,ADHX_MOUSE,LT-Ctrl,-0.177666696669012,0.425069729899632,-0.417970709678534,2.0,0.716569736937258,1.0,,0.361111111111111,0.138888888888889
78,ADPRH_MOUSE,LT-Ctrl,0.445032233373988,0.290593714332878,1.53145856714643,3.0,0.223166984678091,0.7491308567403623,,0.37037037037037,0.148148148148148
79,ADPRS_MOUSE,LT-Ctrl,-0.190411006069714,0.15354000055533,-1.24013941240737,0.0,,1.0,,0.583333333333333,0.0277777777777778
80,ADRM1_MOUSE,LT-Ctrl,0.261701466873757,0.0931801068511688,2.80855512745609,1.0,0.217761383601978,0.7482711181096705,,0.518518518518519,0.0740740740740741
81,ADRO_MOUSE,LT-Ctrl,-0.297609041539634,0.172485974494176,-1.72541009442876,1.0,0.334393282576599,0.9002342112295247,,0.5,0.0555555555555556
82,AEBP1_MOUSE,LT-Ctrl,-0.512522691244343,0.256507260978679,-1.99808258561126,2.0,0.183764596460319,0.6992903021327399,,0.592592592592593,0.148148148148148
83,AEDO_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
84,AF1L2_MOUSE,LT-Ctrl,-2.01222104462388,0.329598092049663,-6.10507491748673,4.0,0.0036428535997452,0.1711147391800996,,0.416666666666667,0.0833333333333333
85,AFAD_MOUSE,LT-Ctrl,-0.194168190712862,0.44652963477892,-0.434838307672449,5.0,0.681807484053984,1.0,,0.452380952380952,0.341269841269841
86,AFF2_MOUSE,LT-Ctrl,,,,,,1.0,,,
87,AG10B_MOUSE,LT-Ctrl,0.289749397890598,0.0012148348619613,238.509287939599,0.0,,1.0,,0.592592592592593,0.037037037037037
88,AGAP1_MOUSE,LT-Ctrl,-0.170552505819956,0.386185623788374,-0.441633492585465,4.0,0.681578821443797,1.0,,0.472222222222222,0.25
89,AGAP3_MOUSE,LT-Ctrl,0.292731088993678,0.944223126018092,0.310023214775688,1.0,0.808615003608396,1.0,,0.425925925925926,0.0925925925925926
90,AGO1_MOUSE,LT-Ctrl,-0.304751721206768,0.366929662053856,-0.830545340763536,1.0,0.558764790787726,1.0,,0.694444444444444,0.25
91,AGO3_MOUSE,LT-Ctrl,0.0284338051549468,0.267665977462476,0.106228686307108,2.0,0.925095992521808,1.0,,0.462962962962963,0.240740740740741
92,AGRG1_MOUSE,LT-Ctrl,-0.203787695779912,0.401260634385112,-0.507868647748599,3.0,0.646531310535951,1.0,,0.277777777777778,0.0555555555555556
93,AGRIN_MOUSE,LT-Ctrl,0.389820194754136,0.270216562310384,1.44262139752326,3.0,0.244817387073761,0.7773178900898424,,0.777777777777778,0.333333333333333
94,AHSA1_MOUSE,LT-Ctrl,0.123236582410487,0.421752128988485,0.292201447106036,3.0,0.789175089039273,1.0,,0.466666666666667,0.133333333333333
95,AHSA2_MOUSE,LT-Ctrl,,,,,,1.0,,,
96,AHSP_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
97,AINX_MOUSE,LT-Ctrl,0.58845148562264,,,0.0,,1.0,,0.777777777777778,0.0
98,AIP_MOUSE,LT-Ctrl,-1.04954812835666,0.28295244830138,-3.70927388915455,1.0,0.167643560233378,0.6820050275981572,,0.37037037037037,0.148148148148148
99,AKA12_MOUSE,LT-Ctrl,-1.14931091312603,0.367452815867334,-3.12777821667579,3.0,0.0521554066657366,0.42092104692294857,,0.388888888888889,0.166666666666667
100,AKAP9_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.555555555555556,0.0
101,AKCL2_MOUSE,LT-Ctrl,-0.603651455864152,0.0984062905667892,-6.13427711162884,1.0,0.102875794353433,0.5704751454466883,,0.711111111111111,0.0444444444444444
102,AKT3_MOUSE,LT-Ctrl,-0.232114790540671,0.343215397165044,-0.676294806287647,4.0,0.535940863868275,1.0,,0.488888888888889,0.155555555555556
103,AKTS1_MOUSE,LT-Ctrl,-0.780666117970523,0.124286791993414,-6.28116717351504,3.0,0.008148461574571,0.22497625516868627,,0.5,0.166666666666667
104,AL1A2_MOUSE,LT-Ctrl,-1.03392053803312,0.0324650208338925,-31.8472162184395,1.0,0.0199832432938909,0.304734900611205,,0.634920634920635,0.301587301587302
105,AL1A3_MOUSE,LT-Ctrl,-0.560843284478918,1.01137701408149,-0.554534339489873,2.0,0.634946256888322,1.0,,0.685185185185185,0.12962962962963
106,AL1A7_MOUSE,LT-Ctrl,2.9472476212987,0.700001545968444,4.21034444605578,1.0,0.148453053972579,0.6478870975108123,,0.841269841269841,0.174603174603175
107,AL1B1_MOUSE,LT-Ctrl,-0.238561259026821,0.230011619643405,-1.03717046728626,3.0,0.375916189457203,0.9408370552787872,,0.311111111111111,0.0888888888888889
108,AL3A2_MOUSE,LT-Ctrl,-1.50191188311609,0.221735490926517,-6.77343927596068,5.0,0.0010661847272626,0.14813198167394676,,0.466666666666667,0.355555555555556
109,AL3B1_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.592592592592593,0.037037037037037
110,ALAT1_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.8,0.0222222222222222
111,ALAT2_MOUSE,LT-Ctrl,-0.206045342458978,0.0006261286637778,-329.078277962488,0.0,,1.0,,0.511111111111111,0.0666666666666667
112,ALDOA_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,,
113,ALDOB_MOUSE,LT-Ctrl,4.93673222456641,1.22690843888161,4.02371690349321,0.0,,1.0,,0.534722222222222,0.0902777777777778
114,ALDOC_MOUSE,LT-Ctrl,-0.0977246901080368,0.203680267142675,-0.479794589230297,2.0,0.678720390710401,1.0,,0.472222222222222,0.0277777777777778
115,ALDR_MOUSE,LT-Ctrl,1.04620211745671,0.159545228602963,6.55740147554171,0.0,,1.0,,0.694444444444444,0.0277777777777778
116,ALG1_MOUSE,LT-Ctrl,,,,,,1.0,completeMissing,,
117,ALG3_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.444444444444444,0.0
118,ALS2_MOUSE,LT-Ctrl,,,,,,1.0,completeMissing,,
119,AMBP_MOUSE,LT-Ctrl,,,,,,1.0,,,
120,AMD_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.733333333333333,0.0666666666666667
121,AMFR_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.555555555555556,0.0
122,AMPD1_MOUSE,LT-Ctrl,0.379354852772935,0.374132227590688,1.01395930314766,3.0,0.385270286289771,0.9537399419728071,,0.488888888888889,0.0444444444444444
123,AMPD3_MOUSE,LT-Ctrl,0.0799530126683987,0.253200078045397,0.315770094881502,7.0,0.761383525381664,1.0,,0.522875816993464,0.522875816993464
124,AMPE_MOUSE,LT-Ctrl,0.229836393952927,0.980389412497854,0.234433778071252,0.0,,1.0,,0.583333333333333,0.0277777777777778
