specie	ProteinName	T	N	p	q	log2(A,B)
P00734	P00734	20.030449575928614	20.272678065054574	0.8763501594474437	0.8608430287762928	-0.24222848912596007
P00736	P00736	18.770412033392535	18.067995427805457	0.009494119829103672	0.019170358059775208	0.7024166055870786
P00738	P00738	21.487528804032305	21.984010635573963	0.45726362836729795	0.5053188247506873	-0.4964818315416579
P00738;P00739	P00738;P00739	20.81798496361288	21.344518263812564	0.4765773993939233	0.5179137936765758	-0.5265333001996844
P00746	P00746	17.820447210106288	17.65895020257266		1.0	0.16149700753362595
P00747	P00747	20.423060588804287	20.25561142247509	0.1357979262732942	0.17768209232729862	0.16744916632919526
P00748	P00748	17.74963961312895	17.9058179768996		1.0	-0.15617836377064975
P00751	P00751	21.087472185551423	20.576309684427137	0.17894862098424863	0.22688154991370169	0.5111625011242857
P00915	P00915	21.10035607421899	24.029666740943878	0.0004390527397909969	0.0017514323597626596	-2.929310666724888
P00918	P00918	19.66683342322416	21.493329384407755	0.006659137430309289	0.013963166281081877	-1.8264959611835963
P01008	P01008	18.82319050242709	18.84711837627272	0.6260859973131085	0.6518110396877463	-0.023927873845632774
P01009	P01009	23.13612128692297	23.194148096838433	0.7835155980176358	0.7934793971763143	-0.05802680991546083
P01011	P01011	20.841941189935724	20.666602991830995	0.47157268168058897	0.5141832369662152	0.17533819810472906
P01019	P01019	18.48139085211509	18.497296159882392	0.6195312393796475	0.6495298980021932	-0.01590530776730148
P01023	P01023	21.64139142008622	22.120835621432466	0.34139212748852366	0.3918313426898754	-0.4794442013462472
P01024	P01024	22.364377056936718	22.5651165761392	0.9783359112176182	0.935734020665646	-0.20073951920248234
P01031	P01031	18.00733902019656	17.768009975929974		1.0	0.23932904426658652
P01042	P01042	20.893730810931498	20.979810839232872	0.627684978288193	0.6518110396877463	-0.08608002830137451
P01599	P01599	18.59654729353858	17.81512089019376		1.0	0.7814264033448204
P01764;P01767;P01768;P01772;A0A0C4DH42;P0DP02;P0DP03	P01764;P01767;P01768;P01772;A0A0C4DH42;P0DP02;P0DP03	18.57591669917242	17.822364378510404		1.0	0.7535523206620169
P01833	P01833	18.141412569561247	18.447715288775413		1.0	-0.3063027192141661
P01834	P01834	27.067805112196762	25.92429449359908	0.04143695485947268	0.06485329952476347	1.1435106185976807
P01857	P01857	25.93453631972282	24.96998555329367	0.027045657429547953	0.04423418983934143	0.9645507664291486
P01857;P01860;P01861	P01857;P01860;P01861	23.438922457662056	22.582232959749728	0.07844736623531702	0.11205556128303033	0.8566894979123276
P01859	P01859	22.459858497795125	21.81063444009584	0.32147773144519914	0.3715822753909295	0.6492240576992856
P01860	P01860	22.541496692626584	22.135183895406364	0.045230749328210106	0.07041116122185498	0.4063127972202203
P01871	P01871	23.18784425609276	22.7040770546046	0.1633359365104578	0.2095231896324428	0.48376720148815977
P01876	P01876	24.159289594224575	23.28124174654451	0.0008817116017084144	0.002943005068080708	0.8780478476800653
P01877	P01877	21.20904573545693	20.00762509139449	0.026224814764163693	0.04354484344208579	1.2014206440624378
P01903	P01903	19.41258907448637	19.162147607472473	0.2284924649057162	0.27993110062239984	0.25044146701389636
P02042	P02042	20.8874312884222	22.98020001434268	0.008949203302823455	0.01818230876629094	-2.0927687259204824
P02042;P68871	P02042;P68871	23.763700985530445	26.75078150971624	1.4280582460966876e-06	8.388805603922531e-05	-2.987080524185796
P02452	P02452	23.114752910121975	21.84944454126641	0.012497992270256752	0.02433444806352724	1.265308368855564
P02462	P02462	20.391660460498787	19.95004237664851	0.05158313109516851	0.07848014028543064	0.4416180838502761
P02545	P02545	21.92234662258059	21.570671788105635	0.0791680747447444	0.11235513052627137	0.35167483447495584
P02549	P02549	17.84096042194288	19.789568874897117	0.002093699945167971	0.005523104836547382	-1.948608452954236
P02647	P02647	22.741777943863873	23.22956452335073	0.2741004427120632	0.3292878581153248	-0.48778657948685833
P02649	P02649	20.055486627858617	19.989460214752636	0.3649827085580939	0.4153077414006551	0.06602641310598045
P02671	P02671	21.220726046953047	20.915473850163252	0.25697112257653165	0.3101741217387925	0.30525219678979454
P02675	P02675	22.98170333830669	22.482527226799693	0.1474710018792486	0.19142410282155295	0.4991761115069977
P02679	P02679	22.489760448707646	22.4039106504496	0.4164691519836172	0.46654175365524525	0.08584979825804595
P02730	P02730	18.114226776954542	21.104321930637646		1.0	-2.9900951536831037
P02743	P02743	19.300481183617702	19.966817597218814	0.13103942948765424	0.17283864109850014	-0.6663364136011118
P02748	P02748	17.859956205397452	17.301470492407663		1.0	0.5584857129897891
