"","logFC","se","df","t","pval","adjPval"
"ABC8B_MOUSE",0.123387980687203,0.171566619015288,12.92787632196,0.719184077854958,0.484825488059024,0.694858858475365
"ABCA2_MOUSE",-0.502957901924209,0.283449417999354,12.7388702119773,-1.7744185381441,0.0998789729212412,0.282128722334
"ABCA3_MOUSE",NA,NA,NA,NA,NA,NA
"ABCA6_MOUSE",0.450483842806895,0.172520242653411,12.5488923084982,2.61119411773554,0.0220619160981647,0.118635297988115
"ABCA7_MOUSE",0.00498895131875801,0.379668252758804,12.7805323329395,0.0131402909843173,0.989718773208197,0.99554683097572
"ABCA9_MOUSE",-0.0210412494375666,0.220854081625062,12.8794301799431,-0.0952721782760065,0.925565004941257,0.963277666607698
"ABCB6_MOUSE",-0.54169715106342,0.637382931391997,10.1613040547426,-0.849877090182496,0.414969126835324,0.634494315931034
"ABCB7_MOUSE",0.102354207607301,0.232754383086729,12.8590778913592,0.43975200917768,0.667416891378563,0.82563374640665
"ABCB9_MOUSE",0.100468237555004,0.150220023232945,12.8605893732156,0.668807229507669,0.515444735999093,0.719886718816549
"ABCBA_MOUSE",0.255351568761914,0.682085037538949,6.04357538881241,0.37436911046056,0.720913879054253,0.85329762070952
"ABCBB_MOUSE",0.252973751187787,0.133131261556778,12.8484283570694,1.90018293396775,0.080082103312753,0.248097633799959
"ABCD1_MOUSE",-0.113325362818956,0.343453754325025,12.090830865023,-0.329958142521019,0.747078203323878,0.866988269798537
"ABCD2_MOUSE",0.249725342269414,0.319929215140786,12.3845338867711,0.780564357523653,0.449721425425898,0.664889866039151
"ABCD3_MOUSE",0.0902118050915386,0.226495179272141,11.6228862678884,0.398294592323956,0.697632232598987,0.840659970123045
"ABCE1_MOUSE",-0.0609477691517432,0.156557052383242,11.6148591369377,-0.389300694053352,0.704096944507074,0.842335482837875
"ABCF1_MOUSE",-0.413463235528389,0.192982166004205,11.7250132696589,-2.14249453247083,0.053871122985528,0.198598016213202
"ABCF2_MOUSE",-0.0754421971204499,0.140437492791203,12.6519751488272,-0.537194132571239,0.600454078895747,0.779324127619825
"ABCF3_MOUSE",0.097897362656998,0.222254690322358,13.3829382250523,0.440473775896508,0.666624984477922,0.82563374640665
"ABCG2_MOUSE",0.0588247622982148,0.260708209632161,13.0749998774293,0.225634483782509,0.824974303098244,0.910486463681399
"ABD12_MOUSE",-0.0714153942624446,0.116844961086072,12.1804730054785,-0.611197895045193,0.552304569861452,0.746458357578016
"ABEC2_MOUSE",0.223641357315445,0.727205576126838,12.8043356142844,0.30753526190844,0.763380974529984,0.878544590532072
"ABHD3_MOUSE",NA,NA,NA,NA,NA,NA
"ABHD4_MOUSE",-0.0194053166073908,0.141652093156509,13.1404154633001,-0.136992798164657,0.89311322859516,0.944713559226655
"ABHD5_MOUSE",0.0565920472613479,0.138650865446019,8.00422325775616,0.408162235982442,0.693854972802707,0.83779018843314
"ABHD6_MOUSE",0.0267030935628234,0.246934031567447,12.2740535039004,0.108138572044209,0.915633457237611,0.957562497545391
"ABHDA_MOUSE",-0.23525587806367,0.291471044047303,12.9144253486966,-0.807132930931862,0.434203972263006,0.65117035440567
"ABHDB_MOUSE",NA,NA,NA,NA,NA,NA
"ABHEB_MOUSE",0.0298973000526952,0.122122031930563,12.0596806994597,0.244814957465615,0.810715747567681,0.903928732603351
"ABHGA_MOUSE",0.0418112550679541,0.135786675786285,13.3845338867711,0.307918688088078,0.762883710135811,0.878294791673979
"ABI1_MOUSE",-0.234950648040226,0.127847798352842,12.5621981301594,-1.83773714578795,0.089858913200265,0.265911988682618
"ABI2_MOUSE",0.0206325901832869,0.220553373494917,13.3336311684717,0.093549193360048,0.926858400477006,0.963810677893867
"ABLM1_MOUSE",0.0858316958356611,0.223387636667795,11.8988385464951,0.384227601473323,0.707588030158211,0.845224553441341
"ABLM2_MOUSE",0.135883697675686,0.242429336768047,11.9985208171897,0.560508474292852,0.585446995337292,0.769170033272142
"ABR_MOUSE",0.112637436170013,0.186837072217735,13.3845338867711,0.602864489541713,0.556676452395542,0.750676867285423
"ABRAL_MOUSE",-0.870145936699198,0.128596825726105,12.0837338381298,-6.76646512684923,1.92730767135488e-05,0.00407352500188842
"ABRX2_MOUSE",-0.19520107334105,0.371308112590723,12.4265953336412,-0.525711846097507,0.608342376750093,0.784020422209862
"ABTB2_MOUSE",-0.335061129683501,0.223986498145653,12.6088211739995,-1.49589878165611,0.159284733317923,0.36508132055391
"ACACA_MOUSE",-0.214955262631933,0.122726290161473,12.9044052062001,-1.7515013478295,0.103574450237706,0.287445761266267
"ACACB_MOUSE",2.03596488689094,0.53441105945787,9.68780435174161,3.80973569101716,0.00363299028555331,0.0474701824196615
"ACAD8_MOUSE",0.0262940866421294,0.115491900718756,11.7631751857907,0.22767039488042,0.823811552196565,0.909953316381957
"ACAD9_MOUSE",0.0207459963375322,0.116769951428711,11.6480266840789,0.177665538811136,0.862037782129816,0.930104682840775
"ACADL_MOUSE",0.0387797249172148,0.184689235605484,13.17950151841,0.209972848661589,0.836900038058569,0.914954300719535
"ACADM_MOUSE",0.0950426302230256,0.239633771385155,12.0742514449633,0.396616176733567,0.698570991596958,0.841157949259927
