,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1536,NDUS2_MOUSE,ST-Ctrl,0.753565386838952,0.115570928123763,6.52037150754707,0.0,,1.0,,0.7,0.0
1537,NDUV1_MOUSE,ST-Ctrl,0.231227282958341,0.298882880345608,0.773638432187769,2.0,0.52007286772992,1.0,,0.5,0.2
1538,NEB2_MOUSE,ST-Ctrl,-0.553396521437787,0.425387580109581,-1.30092308124095,2.0,0.322986705224179,0.9000799288177995,,0.3,0.1
1539,NECA1_MOUSE,ST-Ctrl,0.190025631549752,0.374164872610949,0.507866038368966,0.0,,1.0,,0.633333333333333,0.0333333333333333
1540,NECP1_MOUSE,ST-Ctrl,0.907643792001746,0.172933977241502,5.24849891548045,0.0,,1.0,,0.425,0.025
1541,NED4L_MOUSE,ST-Ctrl,-0.464736518818088,0.385568301681984,-1.20532864551039,5.0,0.282003330399468,0.8630110119048944,,0.554545454545455,0.354545454545455
1542,NEK1_MOUSE,ST-Ctrl,-0.0289419927942473,0.15899249010844,-0.182033709733759,2.0,0.872335962389785,1.0,,0.375,0.175
1543,NEK9_MOUSE,ST-Ctrl,0.819128866524493,0.416002275161139,1.96904900629979,7.0,0.089616709423973,0.6147784499466168,,0.552380952380952,0.552380952380952
1544,NELFE_MOUSE,ST-Ctrl,,,,,,1.0,,,
1545,NEMO_MOUSE,ST-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.725,0.025
1546,NENF_MOUSE,ST-Ctrl,0.254737633183225,0.308609851048904,0.825435845023812,1.0,0.560694590020122,1.0,,0.583333333333333,0.0833333333333333
1547,NEST_MOUSE,ST-Ctrl,-1.14854951446446,0.354312251337838,-3.24163082176156,5.0,0.0229077211614706,0.4125178645113332,,0.335294117647059,0.235294117647059
1548,NET1_MOUSE,ST-Ctrl,inf,,,,,1.0,oneConditionMissing,0.675,0.075
1549,NEUL_MOUSE,ST-Ctrl,0.773688155150005,0.396665900757843,1.95047810681949,7.0,0.0921026622421977,0.6219626770623019,,0.452631578947368,0.452631578947368
1550,NEUR2_MOUSE,ST-Ctrl,inf,,,,,1.0,oneConditionMissing,0.645454545454546,0.0454545454545455
1551,NF1_MOUSE,ST-Ctrl,0.481626136549366,0.168533651542262,2.85774462335548,5.0,0.0355001071374934,0.453980841738095,,0.476470588235294,0.476470588235294
1552,NFASC_MOUSE,ST-Ctrl,0.738701025434619,0.349533449520242,2.11339151216725,2.0,0.168910336960496,0.7388671342513746,,0.3,0.0
1553,NFIB_MOUSE,ST-Ctrl,0.0895992629475251,0.278830594968712,0.321339424597861,3.0,0.769039506348724,1.0,,0.44,0.04
1554,NFIC_MOUSE,ST-Ctrl,0.832049096608948,0.0218982089177095,37.9962169388226,1.0,0.0167509530675498,0.3464238306341146,,0.5,0.1
1555,NFL_MOUSE,ST-Ctrl,-0.411420419806035,0.690338041776652,-0.595969503212085,7.0,0.569956168739909,1.0,,0.478125,0.478125
1556,NFM_MOUSE,ST-Ctrl,-0.419274071533381,0.370978272640894,-1.1301849796989,7.0,0.29563143527505,0.8761014225085326,,0.582857142857143,0.582857142857143
1557,NFS1_MOUSE,ST-Ctrl,-0.42725271271324,0.558712123017882,-0.764709937571134,4.0,0.487067574759862,1.0,,0.616666666666667,0.316666666666667
1558,NGAL_MOUSE,ST-Ctrl,-2.47648289861885,0.567057478253775,-4.36725198695035,1.0,0.143300890680521,0.7090791586201907,,0.425,0.025
1559,NGP_MOUSE,ST-Ctrl,-4.13123888796217,0.355441626024031,-11.6228336398699,3.0,0.0013679829431692,0.19728883205902584,,0.25,0.15
