"","logFC","se","df","t","pval","adjPval"
"6PGD_MOUSE",-0.479914306986945,0.116272929442067,13.581603710518,-4.12748099914402,0.00108975477198702,0.00758930558792152
"6PGL_MOUSE",-0.431946362613484,0.139274143536911,12.7837465212228,-3.10141101315771,0.00857221201022506,0.0322787644833051
"A16A1_MOUSE",-0.721309768535179,0.140717660251668,13.2373649761842,-5.12593634121789,0.000183888459762832,0.0024164027850531
"A16L1_MOUSE",-0.354779785732886,0.135544845357804,12.3011609918132,-2.61743473015412,0.0221063856226908,0.0649296920269227
"A1AG1_MOUSE",0.700639500966073,0.402036562003749,12.4665054069063,1.74272582939743,0.105973834951071,0.205569004037507
"A1AT1_MOUSE;A1AT3_MOUSE",-0.604757958971436,0.252716232926079,11.3741000001786,-2.39303170979258,0.0349873596472506,0.0901862366993636
"A1AT2_MOUSE",0.420618749928257,0.191529535182988,13.2030637893519,2.19610385169262,0.0465291659701718,0.111142021467865
"A1AT4_MOUSE",0.290872587217298,0.181681761259799,12.1349331237572,1.60100048128309,0.135073570508887,0.2453162825449
"A1AT5_MOUSE",-1.70097859626615,0.673651761221927,13.5931478049176,-2.52501172591128,0.0246899224390159,0.0699248530651644
"A2AP_MOUSE",-0.118743830973764,0.202751361536223,12.5132641356475,-0.585662311089092,0.568515192844626,0.688435215382984
"A4_MOUSE",0.364053139173327,0.215400061517959,12.834256810166,1.6901255116075,0.115130788883325,0.218830078373009
"A4GCT_MOUSE",0.0402257598349615,0.128968459983353,13.2967407597413,0.31190385494371,0.759950589410177,0.836769345974023
"AAAS_MOUSE",0.398616126552709,0.301168878686426,13.5785185923248,1.32356347140285,0.207500898735979,0.335824033839315
"AAAT_MOUSE",0.00667955058036339,0.237705423006428,12.4024127601881,0.0281001186084962,0.97802941425473,0.986047778384542
"AACS_MOUSE",-2.074622934842,0.173085923763005,12.9759114555106,-11.9860869661628,2.1613312466046e-08,1.00999009153833e-05
"AAK1_MOUSE",-0.233816662942608,0.222141292218758,11.4650107263213,-1.05255830920598,0.314222070488187,0.450226751132035
"AAKB2_MOUSE",0.257087247291507,0.277697279946462,12.1561587200143,0.925782374753802,0.37257355899435,0.511159567651572
"AAKG1_MOUSE",0.477698892942942,0.413226050820721,10.5931478049176,1.15602317906669,0.273078656458762,0.407048345018117
"AAKG2_MOUSE",0.340549108376139,0.254685243830251,11.715184108654,1.33713717863889,0.206561794881783,0.335044521861358
"AAMDC_MOUSE",0.341263590984778,0.188026286083906,13.1876760754249,1.81497809743735,0.0923290068658914,0.185282585895969
"AAPK1_MOUSE",-0.169993916585162,0.189106768832566,12.3665608631304,-0.898930893032567,0.385858378587107,0.52279391218833
"AAPK2_MOUSE",-0.152170927719369,0.194938205522476,13.0848373284332,-0.780611103459779,0.448923454515896,0.582080827678352
"AASD1_MOUSE",-0.431163063547945,0.170239185016253,13.5931478049176,-2.53268989455502,0.0243290302296833,0.069196322740907
"AATC_MOUSE",0.905089271613544,0.126194168816901,12.9721151583837,7.17219567353202,7.32499520945984e-06,0.000332327209842775
"AATM_MOUSE",0.224566167819481,0.184368017393461,12.1327249580881,1.2180321239786,0.246369155163865,0.378422861337929
"AB1IP_MOUSE",NA,NA,NA,NA,NA,NA
"ABC8A_MOUSE",-0.0277922266417005,0.328002921832284,13.4777480984587,-0.0847316435062472,0.933720470156155,0.954764935894904
"ABC8B_MOUSE",-0.696350817840563,0.174619498799597,12.7812931049164,-3.9878182140457,0.00159738194827111,0.00989995470062454
"ABCA2_MOUSE",-1.63162841675623,0.318545952426032,13.1760271877748,-5.12211316555688,0.000187866525885508,0.0024164027850531
"ABCA6_MOUSE",-0.760977035709357,0.219452393656986,13.3600177455164,-3.46761784197623,0.00401356708355925,0.0182237423762712
"ABCA7_MOUSE",-0.168814400832588,0.4125126651563,10.5450953514414,-0.409234467428109,0.690556294370597,0.782485345197332
