specie	ProteinName	LT	Ctrl	p	q	log2(A,B)
MOUSE	A2AP_MOUSE	23.327155730464153	23.77493397399352	0.5503519059960869	0.5718650300930324	-0.4477782435293669
MOUSE	A4_MOUSE	21.491383086737866	21.649523968708223	0.5434268316834767	0.5671137428880988	-0.15814088197035758
MOUSE	AAAS_MOUSE	19.05210510700781	19.45953461960843		1.0	-0.40742951260061844
MOUSE	AAAT_MOUSE	21.410480967092685	21.798959839004315	0.8528739556196873	0.7798819731341793	-0.3884788719116301
MOUSE	AACS_MOUSE	22.73510145710109	25.147963527881057	3.370071970298575e-06	0.0015979913868923751	-2.4128620707799655
MOUSE	AAK1_MOUSE	23.61381288758048	24.03909122497598	0.811468338366143	0.7534346927730937	-0.42527833739550047
MOUSE	AAMDC_MOUSE	23.471036921655262	24.230758336358743		1.0	-0.7597214147034812
MOUSE	AAPK1_MOUSE	22.314942662821664	22.983211361253485	0.21809012451861684	0.29309043894964476	-0.6682686984318202
MOUSE	AAPK2_MOUSE	20.351931592567066	20.92942734605587	0.2111369930284845	0.28631582798947935	-0.5774957534888046
MOUSE	AASD1_MOUSE	22.073727327805074	22.71507010421276	0.16925132025634315	0.24455292289568317	-0.6413427764076864
MOUSE	AATC_MOUSE	27.883676937778297	27.476112150175528	1.2303583257176247e-05	0.0025002882828818536	0.4075647876027695
MOUSE	AATM_MOUSE	27.175658444781032	27.477256158906687	0.8808240643214582	0.7975712660657754	-0.3015977141256556
MOUSE	ABC8B_MOUSE	21.33551493222122	22.29188889357098	0.03316620513283196	0.0787635846588673	-0.9563739613497617
MOUSE	ABCA6_MOUSE	20.171697594680868	21.16024288696402	0.061438319932850254	0.11914687578997288	-0.9885452922831526
MOUSE	ABCA9_MOUSE	21.19190562106689	22.373546244562164	0.0001364329489049687	0.007464529375494152	-1.181640623495273
MOUSE	ABCB9_MOUSE	24.64441435065898	23.938313062712194	0.020487190835365626	0.05846201276627494	0.7061012879467867
MOUSE	ABCD3_MOUSE	21.268477400125466	22.601732891858475	0.027195333326982783	0.06945375077186366	-1.3332554917330093
MOUSE	ABCE1_MOUSE	22.46877609880491	23.075919262726785	0.07002280287740843	0.12958559133961303	-0.6071431639218758
MOUSE	ABCF1_MOUSE	21.783482444328644	23.01178102036902	0.002527365220307132	0.017778609872501884	-1.2282985760403768
MOUSE	ABCF2_MOUSE	22.411877242513054	22.93562428276609	0.27735494048713155	0.3483807973954496	-0.5237470402530349
MOUSE	ABCF3_MOUSE	21.45230698306645	21.439391871591347	0.24743852704808222	0.3229217794837635	0.012915111475102492
MOUSE	ABCG2_MOUSE	22.663737918585092	23.015824758914817	0.8542048599892893	0.7801722448168733	-0.3520868403297257
MOUSE	ABD12_MOUSE	23.111143379681124	23.84537482893428	0.0209400659997939	0.05945615683062871	-0.734231449253155
MOUSE	ABEC2_MOUSE	24.67777207236777	23.66288119816363	0.029614615556612503	0.07350349807603687	1.0148908742041414
MOUSE	ABHD4_MOUSE	21.642898708486683	22.563036778725223	0.004098628043198599	0.02304222720153647	-0.92013807023854
MOUSE	ABHD6_MOUSE	20.036851198383342	21.19442692935329	0.03060205356534186	0.07499026013896301	-1.157575730969949
MOUSE	ABHEB_MOUSE	23.573537095136643	23.600931702348184	0.08324711295138584	0.14692329255533354	-0.027394607211540745
MOUSE	ABHGA_MOUSE	22.55799674461267	23.31905993452028	0.050983962873938714	0.10492495179156577	-0.7610631899076097
MOUSE	ABI1_MOUSE	22.316079819629955	23.295770242053585	0.0007479038493767252	0.010945696331345888	-0.97969042242363
MOUSE	ABI1_MOUSE;ABI2_MOUSE	19.796229142328347	21.306085799784466	0.001834316957470197	0.015733100048479345	-1.509856657456119
MOUSE	ABI2_MOUSE	20.851617786675774	21.31900393361189	0.525642294009558	0.5528528355864761	-0.46738614693611424
MOUSE	ABLM1_MOUSE	22.59611454991878	22.904661844850438	0.9721052463655293	0.8491453531478308	-0.3085472949316568
MOUSE	ABLM2_MOUSE	22.427765550346916	22.937172961813065	0.621320780316529	0.6232986143155388	-0.5094074114661495
MOUSE	ABRAL_MOUSE	21.79300124633077	23.27426466717291	0.0008167447787047864	0.010945696331345888	-1.48126342084214
