,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
68,ACTS_MOUSE,ST-LT,0.38199636258622,0.38847523605803,0.983322299929456,4.0,0.381120958620071,1.0,,0.320987654320988,0.209876543209877
69,ACTY_MOUSE;ACTZ_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.488888888888889,0.0444444444444444
70,ACY1_MOUSE,ST-LT,-0.395318043300794,0.233601113871191,-1.69227807500427,3.0,0.18916983245911,0.8847127253006773,,0.407407407407407,0.0740740740740741
71,ADA_MOUSE,ST-LT,,,,,,1.0,completeMissing,,
72,ADA10_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.592592592592593,0.148148148148148
73,ADA17_MOUSE,ST-LT,-0.27658005218596,0.553320084097168,-0.499855436545821,2.0,0.666752338026713,1.0,,0.518518518518519,0.296296296296296
74,ADAS_MOUSE,ST-LT,0.935616830985328,0.382851217600857,2.44381312628019,6.0,0.0502108944737316,0.6320831785422437,,0.530864197530864,0.419753086419753
75,ADDG_MOUSE,ST-LT,0.468912619040136,0.303655528600698,1.54422552818641,3.0,0.220232374146856,0.9124391062826187,,0.655555555555556,0.322222222222222
76,ADH1_MOUSE,ST-LT,-0.510115011470691,0.83251173631753,-0.612742126287727,1.0,0.650027150561606,1.0,,0.518518518518519,0.0740740740740741
77,ADHX_MOUSE,ST-LT,0.605071401006379,0.508055502138083,1.19095531582675,2.0,0.355852029090471,1.0,,0.5,0.0555555555555556
78,ADPRH_MOUSE,ST-LT,-1.24315766179826,0.381753458908021,-3.25644112133058,3.0,0.0472585802515497,0.6237368635998162,,0.574074074074074,0.12962962962963
79,ADPRS_MOUSE,ST-LT,-0.0251602788980905,0.15354000055533,-0.163867909385761,0.0,,1.0,,0.611111111111111,0.0555555555555556
80,ADRM1_MOUSE,ST-LT,-0.62703534642726,0.0660555879555991,-9.49254053795929,1.0,0.0668188154017542,0.6650242854151147,,0.444444444444444,0.111111111111111
81,ADRO_MOUSE,ST-LT,0.430648724720945,0.157272156340406,2.73823882587858,1.0,0.22291227231922,0.9149698022626034,,0.583333333333333,0.0277777777777778
82,AEBP1_MOUSE,ST-LT,0.302456653929695,0.148867497775842,2.03171718775794,2.0,0.179254868432648,0.8802944250494208,,0.351851851851852,0.240740740740741
83,AEDO_MOUSE,ST-LT,,,,,,1.0,completeMissing,,
84,AF1L2_MOUSE,ST-LT,0.801346380754214,0.329598092049663,2.43128343301656,4.0,0.0718812868442846,0.6681789617588799,,0.611111111111111,0.277777777777778
85,AFAD_MOUSE,ST-LT,-0.281674781335277,0.466991870102978,-0.603168490434672,5.0,0.572709683127204,1.0,,0.587301587301587,0.365079365079365
86,AFF2_MOUSE,ST-LT,,,,,,1.0,,,
87,AG10B_MOUSE,ST-LT,0.0505208551597113,0.0008590195662157,58.8122286693342,0.0,,1.0,,0.703703703703704,0.037037037037037
88,AGAP1_MOUSE,ST-LT,0.254637105350874,0.39974009773425,0.637006662064104,4.0,0.558752778139505,1.0,,0.509259259259259,0.175925925925926
89,AGAP3_MOUSE,ST-LT,-0.274518290042423,1.21898681405733,-0.225202017672943,1.0,0.858984444018757,1.0,,0.555555555555556,0.111111111111111
90,AGO1_MOUSE,ST-LT,0.619524603151518,0.400721621268265,1.54602240126388,1.0,0.365507148865456,1.0,,0.708333333333333,0.152777777777778
91,AGO3_MOUSE,ST-LT,0.22062404178482,0.319922034008607,0.689618151711566,2.0,0.561700678462309,1.0,,0.62962962962963,0.185185185185185
92,AGRG1_MOUSE,ST-LT,-0.341382575585207,0.437811245351375,-0.779748302972946,3.0,0.492401320127906,1.0,,0.518518518518519,0.0740740740740741
