specie	ProteinName	LT	ST	p	q	log2(A,B)
MOUSE	5NT3A_MOUSE	22.656892741609465	22.756983470815737	0.2820555251411915	0.49401029605861474	-0.10009072920627204
MOUSE	5NTC_MOUSE	20.57683060539219	20.670519388048046	0.46231825280546446	0.6496486125775701	-0.09368878265585678
MOUSE	5NTD_MOUSE	22.983999534945553	22.811958538730092	0.027188821900910685	0.1292488506390399	0.1720409962154612
MOUSE	6PGD_MOUSE	24.196362690782006	24.960151718188026	0.0016217161005688287	0.03350946275447622	-0.7637890274060197
MOUSE	6PGL_MOUSE	25.076382322561372	25.474959587528303	0.5203853227116786	0.6966907207422767	-0.39857726496693147
MOUSE	A16A1_MOUSE	19.997211554930377	20.44938706734134	0.6447823794151641	0.7833207459420023	-0.4521755124109639
MOUSE	A1AG1_MOUSE	22.600416234450766	21.88325091202131	0.04106144467390441	0.16295477348367302	0.7171653224294552
MOUSE	A1AT1_MOUSE;A1AT3_MOUSE	23.927328756814788	25.11581963392746	0.026708350164122808	0.1283427209714881	-1.1884908771126739
MOUSE	A1AT2_MOUSE	25.184281680875113	25.660313936980423	0.48064550880862444	0.6656542389710639	-0.4760322561053094
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE	26.299639604436557	27.049077992959596	0.01697695084344856	0.10268203845171255	-0.7494383885230391
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE	24.793918288973973	25.850933324214953	0.02432384369418702	0.12359083447034394	-1.0570150352409797
MOUSE	A1AT4_MOUSE	25.682012145460636	26.23880113942056	0.2822738625712601	0.49401029605861474	-0.5567889939599233
MOUSE	A1AT5_MOUSE	24.224881588858025	25.800408487768152	0.015553699090479656	0.09819301864242372	-1.5755268989101268
MOUSE	A2AP_MOUSE	23.229160695165913	23.801175819054123	0.27139350199921053	0.4825984843028717	-0.5720151238882103
MOUSE	A4_MOUSE	21.36689152499293	21.60318698341003	0.707759268531284	0.8212881809579784	-0.23629545841709998
MOUSE	AAAS_MOUSE	19.06519114308872	19.157256872677017	0.6339596582030143	0.7754234090008411	-0.0920657295882954
MOUSE	AAAT_MOUSE	21.436745425382316	22.33747627025996	0.002392662629758391	0.03895621101109314	-0.9007308448776428
MOUSE	AACS_MOUSE	22.828893553069822	25.164967878756126	1.470500259139376e-07	0.00045577342711336543	-2.3360743256863046
MOUSE	AAK1_MOUSE	23.58455878184801	24.14700876766908	0.5817373950817717	0.7386574766306289	-0.5624499858210719
MOUSE	AAMDC_MOUSE	24.281000020825726	24.405220749525586	0.24485410405133926	0.4577272383405997	-0.12422072869986067
MOUSE	AAPK1_MOUSE	22.234515844313115	22.85609942503481	0.23281171359649336	0.44460076253753517	-0.6215835807216941
MOUSE	AAPK2_MOUSE	20.197055074665926	21.256545893735453	0.06716406411922386	0.2185811824864932	-1.0594908190695271
MOUSE	AASD1_MOUSE	22.173160758833724	22.553355709298764	0.7335534637971998	0.8387944402344593	-0.3801949504650395
MOUSE	AATC_MOUSE	27.86336802524453	27.818551712168926	0.0023390518236049477	0.03889801061064469	0.04481631307560363
MOUSE	AATM_MOUSE	27.15740710253478	27.463894101257576	0.9294307022869428	0.9471710557369255	-0.3064869987227965
MOUSE	ABC8B_MOUSE	21.31083851790519	22.33811158860709	0.012792936834020675	0.08850669773663075	-1.0272730707019022
MOUSE	ABCA6_MOUSE	19.943135768641216	21.48972581298262	0.0070018623634304855	0.06713162626947083	-1.5465900443414036
MOUSE	ABCA9_MOUSE	21.12477352970963	22.310782595549984	0.00010426787675470933	0.010424920018790041	-1.1860090658403557
MOUSE	ABCB9_MOUSE	24.765357482059887	23.718511937786534	0.0064704008428221734	0.0646681944724853	1.0468455442733529
MOUSE	ABCD3_MOUSE	21.332501182308615	22.700443316542838	0.0032199670432792905	0.04492081227138385	-1.367942134234223
MOUSE	ABCE1_MOUSE	22.499274713082936	22.891130773554515	0.6544278332217512	0.7899445328146968	-0.3918560604715786
MOUSE	ABCF1_MOUSE	21.773014683023842	22.611391534409993	0.012235228500073048	0.08758063379291318	-0.8383768513861511
MOUSE	ABCF2_MOUSE	22.311842255879526	22.638256478101482	0.9789601810935136	0.9706439440704242	-0.32641422222195615
MOUSE	ABCF3_MOUSE	21.455102925733797	21.4362757326702	0.18001060340642694	0.38497903029873026	0.018827193063597036
MOUSE	ABCG2_MOUSE	22.663257751802472	23.08286500196768	0.5741740838591202	0.7335031788276067	-0.41960725016520684
MOUSE	ABD12_MOUSE	22.844633939526798	23.598279229005758	0.031963625739471674	0.14132595033730286	-0.7536452894789605
MOUSE	ABEC2_MOUSE	24.69590269198377	25.043391699504724	0.9614508540481231	0.962746146750541	-0.3474890075209558
MOUSE	ABHD4_MOUSE	21.60496111676489	22.361135349394875	0.047358821314124874	0.1770196140519715	-0.7561742326299843
MOUSE	ABHD6_MOUSE	19.902680756966863	20.898103260322166	0.08591220941384639	0.25168255602181827	-0.9954225033553037
MOUSE	ABHDA_MOUSE	22.102857875284506	21.760124196317804	0.03724892748364713	0.15280454471444493	0.34273367896670237
MOUSE	ABHEB_MOUSE	23.57182739006356	23.62674024248499	0.10495786962273142	0.28312542675151575	-0.054912852421427516
MOUSE	ABHGA_MOUSE	22.549465699678983	23.36900788444311	0.01428069802580777	0.09460362287383549	-0.8195421847641278
MOUSE	ABI1_MOUSE	22.347632091024018	22.95284076114208	0.07621756797447345	0.23529097510174693	-0.6052086701180635
MOUSE	ABI1_MOUSE;ABI2_MOUSE	20.11489180730608	21.206693253276427	0.022441820364072516	0.118496050671675	-1.0918014459703471
MOUSE	ABI2_MOUSE	20.727065623677607	21.307910116670545	0.2214144961858023	0.43340000945967666	-0.5808444929929379
MOUSE	ABLM1_MOUSE	22.444119277766756	22.970304988544267	0.6560056663262235	0.7906438614867283	-0.5261857107775114
MOUSE	ABLM2_MOUSE	22.42569552649735	23.083703140397333	0.38115757414050794	0.5827206308718855	-0.6580076138999829
MOUSE	ABRAL_MOUSE	21.82362768862627	22.478549927754766	0.1357094694133636	0.3281727096774628	-0.6549222391284957
MOUSE	ABR_MOUSE	22.02268251929985	22.372669014586325	0.9022111781991382	0.9330008542748123	-0.3499864952864762
MOUSE	ACACA_MOUSE	22.851086633565927	24.058188525463535	0.0004335343191444505	0.01947413997868831	-1.207101891897608
MOUSE	ACACA_MOUSE;ACACB_MOUSE	22.183589447720095	23.050120996162008	0.008549767697113199	0.0743760979841548	-0.8665315484419125
MOUSE	ACAD8_MOUSE	22.76144464258937	23.089550157627745	0.9499470112642767	0.9572764190736243	-0.3281055150383736
MOUSE	ACAD9_MOUSE	23.36834561762781	23.85741232028061	0.07975841950306224	0.2408747327518888	-0.4890667026527993
MOUSE	ACADL_MOUSE	26.381296102904926	26.616408808781667	0.6129545188407298	0.7605358887174518	-0.23511270587674105
MOUSE	ACADM_MOUSE	25.338621124360944	25.76179152106966	0.6282785541039209	0.7711316686395446	-0.42317039670871637
MOUSE	ACADS_MOUSE	24.497962419222574	24.909102201642302	0.7051554747452385	0.8201089742678835	-0.4111397824197276
MOUSE	ACADV_MOUSE	24.689263209936744	25.241275917778268	0.15630997628806087	0.35572382966373617	-0.5520127078415236
MOUSE	ACBD5_MOUSE	21.10983341678963	21.928463134561184	0.04152027563262857	0.163311928027133	-0.8186297177715538
MOUSE	ACBG1_MOUSE	22.045904718717047	22.345800820084964	0.9307154679369974	0.9473566986757056	-0.2998961013679171
MOUSE	ACBP_MOUSE	27.324617745228384	27.737556362585675	0.17555329828892546	0.38004744068017	-0.4129386173572911
MOUSE	ACD10_MOUSE	22.07658250393603	22.74838471507455	0.2146178545368502	0.4242322558103837	-0.6718022111385196
MOUSE	ACDSB_MOUSE	21.513405052511683	22.15716742129387	0.05725433350862184	0.19961377049514714	-0.6437623687821876
MOUSE	ACE_MOUSE	21.6031672082379	22.880718109670354	0.0030020632193322352	0.04287893552504536	-1.2775509014324555
MOUSE	ACINU_MOUSE	21.05871492609085	21.803400917992015	0.18104602560399918	0.385664707230218	-0.7446859919011644
MOUSE	ACL6A_MOUSE	21.359793341502204	21.976217629715727	0.10829193619956379	0.2874493692714224	-0.6164242882135227
MOUSE	ACLY_MOUSE	26.31650884567589	26.55154541988332	0.5431994698025191	0.7115509257171639	-0.2350365742074274
