specie	ProteinName	Ctrl	ST	p	q	log2(A,B)
MOUSE	ACBG1_MOUSE	22.782247129513102	22.345800820084964	0.05625930098756965	0.17679343958493873	0.43644630942813833
MOUSE	ACBP_MOUSE	27.961655384554955	27.737556362585675	0.03501267686915094	0.13802226949628035	0.22409902196928044
MOUSE	ACD10_MOUSE	22.347037324873163	22.74838471507455	0.018700570622312875	0.10364564287985015	-0.4013473902013871
MOUSE	ACDSB_MOUSE	21.978401258552676	22.15716742129387	0.19196349844348576	0.3530327750044831	-0.17876616274119428
MOUSE	ACE_MOUSE	22.501953615384316	22.880718109670354	0.03195459145111481	0.13336420449651662	-0.3787644942860382
MOUSE	ACINU_MOUSE	22.70309290078258	21.803400917992015	0.007460677882421275	0.07180159531844658	0.8996919827905643
MOUSE	ACL6A_MOUSE	22.57451492036581	21.976217629715727	0.000854229053364006	0.04189280505843396	0.5982972906500841
MOUSE	ACLY_MOUSE	26.37020575005094	26.55154541988332	0.0015336249757275915	0.04851769683748447	-0.18133966983237926
MOUSE	ACO11_MOUSE	20.860180442600623	21.36232422516241	0.1025719615413889	0.24360477003333242	-0.502143782561788
MOUSE	ACOC_MOUSE	23.242004672502162	23.4017895730523	0.0882872132576492	0.22483364242286244	-0.1597849005501395
MOUSE	ACON_MOUSE	27.41602602852892	27.785283997824244	0.02013066421545287	0.10769902415883438	-0.36925796929532595
MOUSE	ACOT1_MOUSE	24.101817098925537	24.039083985548718	0.6066015292926712	0.7181481214597579	0.06273311337681875
MOUSE	ACOT1_MOUSE;ACOT2_MOUSE	23.73328235955292	23.837090039088014	0.2950079794885392	0.46151126969636225	-0.10380767953509462
MOUSE	ACOT9_MOUSE	23.458666019773343	23.43696454605549	0.8163134063868585	0.852612390206718	0.02170147371785447
MOUSE	ACOX1_MOUSE	23.184876553287395	23.347773457801562	0.5278537116256995	0.6587521429548637	-0.1628969045141666
MOUSE	ACOX3_MOUSE	21.70266632971386	21.689971106896266	0.9570410600819922	0.9375195513850918	0.012695222817594498
MOUSE	ACPM_MOUSE	24.59895541688285	24.538732714494177	0.6897663778275667	0.7773679366640391	0.06022270238867122
MOUSE	ACS2L_MOUSE	20.512586965909858	20.357971028846798	0.4067809632949	0.5579016625413673	0.15461593706305976
MOUSE	ACSA_MOUSE	23.018682292712775	22.746244082455227	0.021561190975102198	0.11219962353966809	0.27243821025754755
MOUSE	ACSF2_MOUSE	23.194018364859915	23.09290002181847	0.41416034534988055	0.5649107172124721	0.10111834304144551
MOUSE	ACSF3_MOUSE	20.702112049739284	20.525664111581484	0.58429362781986	0.7038376939655687	0.1764479381577999
MOUSE	ACSL1_MOUSE	24.50010723143115	24.923516339646365	0.06182044904865306	0.1856900524889561	-0.42340910821521405
MOUSE	ACSL3_MOUSE	21.961074933078823	21.864818894157516	0.4933126210929546	0.6318020899305402	0.09625603892130741
