Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
PA1B3_MOUSE,ST-Ctrl,0.170598588576654,0.178104933826053,0.95785436659082,7.0,0.370041238317926,0.582240027522839,,0.0727272727272728,0.0727272727272727
PA24A_MOUSE,ST-Ctrl,-0.411940542167376,0.728587124825101,-0.565396406457584,0.0,,,,0.6,0.0
PABP2_MOUSE,ST-Ctrl,-0.453833802877136,0.188439607089128,-2.40837799381784,7.0,0.0468855548801983,0.198444179850079,,0.025,0.025
PACS1_MOUSE,ST-Ctrl,-0.293989901211785,0.267174073943807,-1.10036837359308,6.0,0.313347936980525,0.540355420737314,,0.253333333333333,0.253333333333333
PACS1_MOUSE;PACS2_MOUSE,ST-Ctrl,0.131105214271537,0.167185213271554,0.784191446755439,7.0,0.458637551012361,0.65335323763142,,0.0,0.0
PAF1_MOUSE,ST-Ctrl,-1.18795956308833,0.390493561203395,-3.04220013110425,1.0,0.202179822813365,0.430811634686474,,0.48,0.08
PAFA_MOUSE,ST-Ctrl,-0.503036746257699,0.286759539070807,-1.75421102951867,7.0,0.122835906376795,0.335081814682441,,0.236842105263158,0.236842105263158
PAG15_MOUSE,ST-Ctrl,-0.640101106510207,0.219124498943126,-2.92117544864916,7.0,0.0223026597540172,0.137506370141249,,0.183333333333333,0.183333333333333
PAIP1_MOUSE,ST-Ctrl,0.465945493178097,0.119044194114427,3.91405474785461,7.0,0.0057931430642503,0.0728631392148208,,0.164705882352941,0.164705882352941
PAK1_MOUSE,ST-Ctrl,-0.0191890222455122,0.460469138834249,-0.0416727650719269,7.0,0.967923293472511,0.987161091748723,,0.183333333333333,0.183333333333333
PAK1_MOUSE;PAK2_MOUSE,ST-Ctrl,0.766246779141843,0.305302141187947,2.50979824825446,1.0,0.241380400391618,0.469444423945989,,0.68,0.08
PAK1_MOUSE;PAK3_MOUSE,ST-Ctrl,0.213101214068124,0.186885462581105,1.14027710408798,7.0,0.291678672415681,0.518657937697006,,0.0,0.0
PAK2_MOUSE;PAK3_MOUSE,ST-Ctrl,-0.135734279338456,0.294326364051571,-0.46116928660415,7.0,0.658664059579129,0.801615406277147,,0.0416666666666666,0.0416666666666667
PAK3_MOUSE,ST-Ctrl,0.5112284678095,0.299317619385598,1.70797986720223,4.0,0.162825536793179,0.387200109139154,,0.383333333333333,0.183333333333333
PALLD_MOUSE,ST-Ctrl,-0.247671065398007,0.223997004141539,-1.10568918699247,6.0,0.311213645055206,0.538341615825309,,0.36,0.36
PALM2_MOUSE,ST-Ctrl,-0.119055361289024,,,0.0,,,,0.8,0.0
PANK3_MOUSE,ST-Ctrl,0.545144540455956,0.423368296812914,1.28763666188462,1.0,0.42037229409026,0.623622274878644,,0.48,0.08
PAPS1_MOUSE;PAPS2_MOUSE,ST-Ctrl,-0.485523653787822,0.25001332628261,-1.94199109706255,5.0,0.1097904759181,0.314251259436698,,0.0166666666666667,0.0166666666666667
PAPS2_MOUSE,ST-Ctrl,-0.528397689262456,0.354588751774571,-1.4901704766946,7.0,0.179796574253459,0.408555447374809,,0.42,0.42
PAQR6_MOUSE,ST-Ctrl,0.0963965871979212,0.256461502303088,0.375871568762781,6.0,0.719943407726007,0.838292617346993,,0.0636363636363636,0.0636363636363636
PARG_MOUSE,ST-Ctrl,,,,,,,,,
PARN_MOUSE,ST-Ctrl,-0.30739446374151,0.274304658446389,-1.12063158344643,2.0,0.378940815481241,0.590162130869587,,0.416666666666667,0.0166666666666667
PARP3_MOUSE,ST-Ctrl,0.0702049465582434,0.0869101423938612,0.807787729078698,7.0,0.445790674066613,0.644753676632424,,0.105882352941176,0.105882352941176
PARP4_MOUSE,ST-Ctrl,0.0649949965141546,0.252333479162108,0.257575795054922,7.0,0.804142208564895,0.892411906514439,,0.25625,0.25625
PARVA_MOUSE;PARVB_MOUSE,ST-Ctrl,0.239288411277869,0.118516305916158,2.01903366315811,7.0,0.0832489274503816,0.270219420686845,,0.0,0.0
PARVB_MOUSE,ST-Ctrl,-0.822435355918185,0.13499063874549,-6.09253622000261,5.0,0.0017237395633431,0.0436419516719153,,0.166666666666667,0.0666666666666667
