Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
TBCK_MOUSE,ST-LT,0.730591933673863,0.0260795113801958,28.014019243806,1.0,0.0227153973352476,0.142094686591685,,0.666666666666667,0.0
TCOF_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.888888888888889,0.0
TCPW_MOUSE,ST-LT,-0.216101696755043,0.195607843606453,-1.10477009904481,7.0,0.305780202716997,0.564027264947538,,0.0370370370370371,0.037037037037037
TCPW_MOUSE;TCPZ_MOUSE,ST-LT,-0.0172240718672988,0.0602369544420664,-0.285938624003049,7.0,0.783201847240778,0.896088793413654,,0.0,0.0
TDRD3_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.925925925925926,0.037037037037037
TDRD7_MOUSE,ST-LT,-0.49881553322247,0.357916746531562,-1.39366357695276,7.0,0.206065790619151,0.454371120694719,,0.0444444444444444,0.0444444444444444
TDRP_MOUSE,ST-LT,-1.24799916500904,0.994183897531896,-1.25530011913012,2.0,0.336161750336919,0.591624120241275,,0.644444444444444,0.2
TEN1L_MOUSE,ST-LT,0.485540484229583,0.228125307646872,2.12839377286969,0.0,,,,0.472222222222222,0.0277777777777778
TENS3_MOUSE;TNS2_MOUSE,ST-LT,-2.00532925242977,0.503307879478013,-3.98429934081208,7.0,0.005294779254183,0.0765878522267598,,0.0185185185185185,0.0185185185185185
TEX2_MOUSE,ST-LT,0.694267185745724,0.218005488526103,3.18463168262205,1.0,0.193696763201606,0.443762076870604,,0.666666666666667,0.0
TF2AA_MOUSE,ST-LT,-0.160560593913989,0.148949554402083,-1.07795283147046,6.0,0.322473213674572,0.578631177406358,,0.222222222222222,0.111111111111111
TF2B_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.888888888888889,0.111111111111111
TFAM_MOUSE,ST-LT,-0.0167922861049853,0.124465796425406,-0.134914864864494,7.0,0.896476626009458,0.942629611938461,,0.0185185185185185,0.0185185185185185
TGBR3_MOUSE,ST-LT,0.661938291646123,0.160362164285524,4.12777100256358,1.0,0.151313196918444,0.392405462505478,,0.666666666666667,0.0
THADA_MOUSE,ST-LT,0.340013133649564,0.343514050230499,0.989808519975862,6.0,0.360489183232395,0.614700814667388,,0.177777777777778,0.0666666666666667
THEM5_MOUSE,ST-LT,1.1083843650643,0.134866384531347,8.21838865864074,7.0,7.67174843097074e-05,0.0098113138267192,,0.0185185185185185,0.0185185185185185
