specie	ProteinName	ST	LT	p	q	log2(A,B)
MOUSE	A1AT2_MOUSE	25.62173491986056	25.137691427313815	0.4604653578862754	0.6400313817571549	0.4840434925467463
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE	27.686901892212145	26.819877650070314	0.025653911969144176	0.12362550320937689	0.8670242421418308
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE	25.918310023644995	24.87829643261795	0.025886150047018584	0.12367396063980603	1.0400135910270443
MOUSE	A1AT4_MOUSE	25.99397226036381	25.405085155898476	0.25097701265186984	0.4477026273665475	0.5888871044653357
MOUSE	A1AT5_MOUSE	25.837779470435123	24.25895849105881	0.04674267590284977	0.17427794296598567	1.5788209793763137
MOUSE	A2AP_MOUSE	23.842103330702354	23.327155730464153	0.34414625714856356	0.5417817684557166	0.5149476002382016
MOUSE	A4_MOUSE	21.67628315704096	21.491383086737866	0.5523852971570964	0.7161056346902294	0.18490007030309386
MOUSE	AAAS_MOUSE	19.406593663132576	19.05210510700781		1.0	0.35448855612476393
MOUSE	AAAT_MOUSE	22.19406332571184	21.410480967092685	0.08723798803633151	0.24998314841226352	0.7835823586191566
MOUSE	AACS_MOUSE	25.01204179124794	22.73510145710109	3.555219737610313e-07	0.0005613693760345814	2.276940334146847
MOUSE	AAK1_MOUSE	24.045451918136386	23.61381288758048	0.806855597858217	0.8773243872611075	0.4316390305559068
MOUSE	AAMDC_MOUSE	24.366212195354983	23.471036921655262		1.0	0.8951752736997207
MOUSE	AAPK1_MOUSE	22.983865657823515	22.314942662821664	0.22101187623544816	0.41763329036995506	0.66892299500185
MOUSE	AAPK2_MOUSE	21.45791110861894	20.351931592567066	0.030748180691047417	0.1367644868527011	1.1059795160518746
MOUSE	AASD1_MOUSE	22.584688945936318	22.073727327805074	0.2283940288899348	0.42577002352321386	0.510961618131244
MOUSE	AATC_MOUSE	27.8453879345009	27.883676937778297	0.0029456310363784673	0.04212037171689917	-0.03828900327739859
MOUSE	AATM_MOUSE	27.48200522273285	27.175658444781032	0.9286812406010203	0.9401667156590977	0.30634677795181986
MOUSE	ABC8B_MOUSE	22.34809057884572	21.33551493222122	0.010497278646449164	0.08121858623625185	1.0125756466245015
MOUSE	ABCA6_MOUSE	21.574837332821996	20.171697594680868	0.007129236519967557	0.06641338090758522	1.4031397381411281
MOUSE	ABCA9_MOUSE	22.37555661550328	21.19190562106689	0.0004564415928372598	0.019219240146659242	1.183650994436391
MOUSE	ABCB9_MOUSE	23.575055098083425	24.64441435065898	0.007499597015270495	0.06799314306188128	-1.0693592525755555
MOUSE	ABCD3_MOUSE	22.71025759602545	21.268477400125466	0.002282892219218885	0.0365958169191926	1.4417801958999839
MOUSE	ABCE1_MOUSE	22.984138221310637	22.46877609880491	0.16069921032343265	0.34905380231612093	0.5153621225057279
MOUSE	ABCF1_MOUSE	22.719996604851282	21.783482444328644	0.005567928583987185	0.05940379759987418	0.9365141605226377
MOUSE	ABCF2_MOUSE	22.817369000026254	22.411877242513054	0.5871576134299961	0.7396098183310387	0.4054917575132002
MOUSE	ABCF3_MOUSE	21.211281567665544	21.45230698306645	0.08361006240359833	0.24268443150968722	-0.24102541540090527
MOUSE	ABCG2_MOUSE	23.12618964153523	22.663737918585092	0.35196730040158963	0.550082500968278	0.4624517229501386
MOUSE	ABD12_MOUSE	23.75788187603702	23.111143379681124	0.0645521142771025	0.20796478262348997	0.6467384963558942
MOUSE	ABEC2_MOUSE	25.029445048706908	24.67777207236777	0.9556787594848597	0.9511611999048128	0.3516729763391382
MOUSE	ABHD4_MOUSE	22.252639274309768	21.642898708486683	0.18794880370603964	0.3816993645370518	0.6097405658230848
MOUSE	ABHD6_MOUSE	21.044048153084535	20.036851198383342	0.012345098663223175	0.08549525009201911	1.0071969547011932
MOUSE	ABHDA_MOUSE	21.729191255359414	22.197256407371412		1.0	-0.4680651520119987
MOUSE	ABHEB_MOUSE	23.599872582318937	23.573537095136643	0.07227310131387588	0.22332536880186005	0.02633548718229406
MOUSE	ABHGA_MOUSE	23.315937298767622	22.55799674461267	0.028811122709174127	0.13243894410920728	0.7579405541549527
MOUSE	ABI1_MOUSE	23.025251204326363	22.316079819629955	0.00728278492245268	0.06666389025432035	0.7091713846964076
MOUSE	ABI1_MOUSE;ABI2_MOUSE	21.39503243533625	19.796229142328347	0.00033111227500273575	0.01714185079912542	1.5988032930079044
