Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
BRAT1_MOUSE,LT-Ctrl,-0.856659661314918,0.324425357242062,-2.64054471141644,3.0,0.0776197068717404,0.17011339944032,,0.266666666666667,0.0444444444444444
BRCC3_MOUSE,LT-Ctrl,-0.316261237251537,0.121555782991479,-2.60177861939903,7.0,0.0353335632965495,0.101133500834077,,0.101851851851852,0.101851851851852
BRD4_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
BRI3B_MOUSE,LT-Ctrl,-0.241364992810307,0.317997674279646,-0.759014962474384,4.0,0.490111516467089,0.621660553505785,,0.377777777777778,0.155555555555556
BRK1_MOUSE,LT-Ctrl,-0.181122116088635,0.120580943324697,-1.50207911046867,7.0,0.176774164877751,0.302438263228936,,0.0,0.0
BRSK1_MOUSE,LT-Ctrl,-0.0974230328764056,0.400566439032435,-0.243213168611255,7.0,0.814813595243536,0.878942685615982,,0.274509803921569,0.274509803921569
BRSK2_MOUSE,LT-Ctrl,0.0553265762382679,0.24896784875477,0.222223779154568,7.0,0.83048413648407,0.889291038359417,,0.275132275132275,0.275132275132275
BSDC1_MOUSE,LT-Ctrl,-0.765097665084325,0.223730521912542,-3.41972860271343,7.0,0.0111395177142479,0.0485925756701648,,0.166666666666667,0.166666666666667
BT3L4_MOUSE,LT-Ctrl,-0.874939975806965,0.44218365118341,-1.97868006531986,7.0,0.0883535459212594,0.186000272233309,,0.0555555555555556,0.0555555555555556
BTD_MOUSE,LT-Ctrl,-0.604772635139372,0.17200831840162,-3.51594993055683,7.0,0.0097807735661081,0.0440986568846046,,0.284722222222222,0.284722222222222
BTF3_MOUSE,LT-Ctrl,-1.28717724121245,0.617589685067821,-2.08419485029304,2.0,0.172512878090019,0.297014582012038,,0.222222222222222,0.0
BUB3_MOUSE,LT-Ctrl,-0.879140664822027,0.115360922087288,-7.62078396145989,7.0,0.00012411828137,0.0052644811613573,,0.211111111111111,0.211111111111111
BUD31_MOUSE,LT-Ctrl,-1.22130401929283,0.329094190553649,-3.71110780545282,7.0,0.0075438144932729,0.0374712829392132,,0.325396825396825,0.325396825396825
BZW1_MOUSE,LT-Ctrl,0.0289691141349774,0.109423251065802,0.264743679728147,7.0,0.798833035315398,0.868726936527572,,0.0065359477124182,0.0065359477124183
BZW2_MOUSE,LT-Ctrl,-0.0327121431764144,0.125704909832408,-0.260229637967417,7.0,0.802175226355989,0.870622394793063,,0.131944444444444,0.131944444444444
C10_MOUSE,LT-Ctrl,-0.152614849180293,0.150205874126275,-1.01603782187634,7.0,0.3434359608164,0.481128505065487,,0.12037037037037,0.12037037037037
